Item,Category
Apple,FRESH PRODUCE
Avocado,FRESH PRODUCE
Banana,FRESH PRODUCE
Blueberry,FRESH PRODUCE
Broccoli,FRESH PRODUCE
Cantaloupe,FRESH PRODUCE
Carrot,FRESH PRODUCE
Celery,FRESH PRODUCE
Cherry,FRESH PRODUCE
Corn,FRESH PRODUCE
Cucumber,FRESH PRODUCE
Carlic,FRESH PRODUCE
Grape,FRESH PRODUCE
Lettuce,FRESH PRODUCE
Lime,FRESH PRODUCE
Mushroom,FRESH PRODUCE
Onion,FRESH PRODUCE
Orange,FRESH PRODUCE
Pear,FRESH PRODUCE
Pepper,FRESH PRODUCE
Potato,FRESH PRODUCE
Straberry,FRESH PRODUCE
Squash,FRESH PRODUCE
Tomato,FRESH PRODUCE
Watermelon,FRESH PRODUCE
Bagel,BAKERY
French Bread,BAKERY
Sliced Bread,BAKERY
Bun,BAKERY
English Muffin,BAKERY
Meat,LUNCH MEAT/CHEESE
Cheese Slices,LUNCH MEAT/CHEESE
Cream Cheese,LUNCH MEAT/CHEESE
Block Cheese,LUNCH MEAT/CHEESE
Bacon,LUNCH MEAT/CHEESE
Salt,SPICES
Black pepper,SPICES
Cumin,SPICES
Chili powder,SPICES
Cinnamon,SPICES
Basil,SPICES
Cake mix,BAKING
Cookie mix,BAKING
Brownie mix,BAKING
Muffin mix,BAKING
Chocolate chips,BAKING
Marshmallows,BAKING
Oil,BAKING
Flour,BAKING
Brown Sugar,BAKING
Baking soda,BAKING
Baking powder,BAKING
Cornstarch,BAKING
Ketchup,CONDIMENTS
Mustard,CONDIMENTS
Peanut buffer,CONDIMENTS
Jam,CONDIMENTS
Salad dressing,CONDIMENTS
Chicken,MEAT/SEAFOOD
Ground steak,MEAT/SEAFOOD
Pork,MEAT/SEAFOOD
Ribs,MEAT/SEAFOOD
Sausage,MEAT/SEAFOOD
Shrimp,MEAT/SEAFOOD
Salmon,MEAT/SEAFOOD
Tuna,MEAT/SEAFOOD
Milk,DAIRY
Sour cream,DAIRY
Buffer,DAIRY
Margarine,DAIRY
Yourt,DAIRY
Whipped cream,DAIRY
Diapers,BABY PRODUCTS
Wipes,BABY PRODUCTS
Baby food,BABY PRODUCTS
Formula,BABY PRODUCTS
Baby lotion,BABY PRODUCTS
Razors,TOILETRIES
Shave cream,TOILETRIES
Toothpaste,TOILETRIES
Toothbrush,TOILETRIES
Dental floss,TOILETRIES
Soap,TOILETRIES
Deodorant,TOILETRIES
Shampoo,TOILETRIES
Lotion,TOILETRIES
Ice cream,FROZEN FOODS
Popsicles,FROZEN FOODS
Waffles,FROZEN FOODS
Garlic bread,FROZEN FOODS
Pizza,FROZEN FOODS
Popcorn,SNACKS
Trail mix,SNACKS
Chips,SNACKS
Crackers,SNACKS